time	velocity	number_of_branches
2020.06853794215	444.903372581744	6
2020.07144633969	439.746763935877	6
2020.07435473723	435.754427438445	6
2020.07726313477	432.571514108292	6
2020.0801715323	429.974076452902	6
2020.08307992984	427.813804230781	6
2020.08598832738	425.98857812535	6
2020.08889672492	NA	0
2020.09180512246	NA	0
2020.09471352	NA	0
2020.09762191754	NA	0
2020.10053031508	1129.95679138845	6
2020.10343871262	1097.40494195713	13
2020.10634711015	654.55050387781	21
2020.10925550769	629.427653335824	21
2020.11216390523	625.172673084483	25
2020.11507230277	605.028512698586	33
2020.11798070031	577.94510650456	33
2020.12088909785	560.281241065816	41
2020.12379749539	539.510187188278	43
2020.12670589293	526.157108757129	57
2020.12961429047	496.090954577404	63
2020.13252268801	480.991277148915	65
2020.13543108554	471.279094119043	67
2020.13833948308	501.933870901596	68
2020.14124788062	550.598766815775	75
2020.14415627816	557.612865249229	82
2020.1470646757	573.05603040973	87
2020.14997307324	610.235775883232	103
2020.15288147078	923.452887253673	118
2020.15578986832	1139.98478210273	155
2020.15869826586	1245.85439715359	171
2020.16160666339	1155.62773604572	182
2020.16451506093	1226.26434199351	188
2020.16742345847	1271.20304668901	204
2020.17033185601	1254.1906609476	212
2020.17324025355	1217.95246341223	216
2020.17614865109	1174.2914279244	232
2020.17905704863	1140.44471616064	246
2020.18196544617	1146.25417315819	250
2020.18487384371	1107.93662299148	255
2020.18778224124	1164.7356169557	252
2020.19069063878	1107.30375839518	256
2020.19359903632	952.498415400047	243
2020.19650743386	837.419172441355	232
2020.1994158314	779.888050205116	236
2020.20232422894	837.801580225658	256
2020.20523262648	952.220441801744	269
2020.20814102402	1062.90009137484	291
2020.21104942156	1113.6761689079	307
2020.21395781909	1139.4327675334	302
2020.21686621663	1215.46699493888	302
2020.21977461417	1257.14409936299	301
2020.22268301171	1330.58466742868	320
2020.22559140925	1382.50016424618	337
2020.22849980679	1337.9484517229	350
2020.23140820433	1362.56906453321	346
2020.23431660187	1438.70660148689	324
2020.23722499941	1408.22724070566	334
2020.24013339694	1404.58619335508	341
2020.24304179448	1353.81573123388	319
2020.24595019202	1147.10930979731	301
2020.24885858956	1124.32591696462	261
2020.2517669871	1187.14436790842	261
2020.25467538464	1238.24346533547	251
2020.25758378218	1234.14429616708	238
2020.26049217972	1136.11734033755	204
2020.26340057726	1026.39773914808	157
2020.26630897479	1115.9368396344	124
2020.26921737233	1164.04578879293	120
2020.27212576987	1208.92995741191	117
2020.27503416741	1240.36368624173	103
2020.27794256495	871.275114806742	103
2020.28085096249	889.428447426483	84
2020.28375936003	834.57639308796	71
2020.28666775757	792.227419755476	59
2020.28957615511	678.259148495124	50
2020.29248455264	527.472268115622	44
2020.29539295018	381.491014543589	39
2020.29830134772	397.457198911614	39
2020.30120974526	415.995016776159	39
2020.3041181428	437.780179276849	39
2020.30702654034	463.747851004344	39
2020.30993493788	495.230401588493	39
2020.31284333542	517.940710269484	36
2020.31575173296	639.009289363908	19
2020.31866013049	622.651491542566	18
2020.32156852803	602.894404130221	18
2020.32447692557	3936.23620929235	10
2020.32738532311	2317.88658619727	10
2020.33029372065	734.275978173221	5
2020.33320211819	613.109065051896	8
2020.33611051573	378.849762670053	15
2020.33901891327	333.413747016603	18
2020.34192731081	339.636514037401	18
2020.34483570834	347.131830993043	18
2020.34774410588	356.335030442735	18
2020.35065250342	367.905567795641	18
2020.35356090096	382.892559067531	18
2020.3564692985	403.072468905473	18
