node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune,startProvince,endProvince,startCommune,endCommune
15,1,0.000381000000000006,636326.760692261,783774.733354753,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,3187000,NA,Liège,NA,4750,NA,Liège,NA,4750
15,16,0.000359999999999999,636326.760692261,783774.733354753,636245.976597363,784016.862597384,0.000359999999999999,0,2020.22366271585,2020.22402271585,3187000,NA,NA,NA,NA,NA,NA,NA,NA
16,17,0.05209,636245.976597363,784016.862597384,642095.222901709,778491.876871477,0.05245,0.000359999999999999,2020.22402271585,2020.27611271585,3187000,NA,Liège,NA,4700,NA,Liège,NA,4700
16,18,0.00784,636245.976597363,784016.862597384,636462.73730754,784811.570606104,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,3187000,NA,NA,NA,NA,NA,NA,NA,NA
17,2,0.0326304535500016,642095.222901709,778491.876871477,642004.279437344,776063.346164795,0.0850804535500016,0.05245,2020.27611271585,2020.3087431694,3187000,Liège,Liège,4700,4700,Liège,Liège,4700,4700
17,3,0.0162374535500016,642095.222901709,778491.876871477,643955.040848366,776959.006924124,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,3187000,Liège,Liège,4700,4700,Liège,Liège,4700,4700
18,4,0.0768804535500016,636462.73730754,784811.570606104,645727.449992765,783006.262035757,0.0850804535500016,0.0082,2020.23186271585,2020.3087431694,3187000,NA,Liège,NA,4700,NA,Liège,NA,4700
18,19,0.02251,636462.73730754,784811.570606104,658736.416409583,767028.497122724,0.03071,0.0082,2020.23186271585,2020.25437271585,3187000,NA,Liège,NA,4721,NA,Liège,NA,4721
19,20,0.00244,658736.416409583,767028.497122724,656978.607514038,765031.97210691,0.03315,0.03071,2020.25437271585,2020.25681271585,3187000,Liège,Liège,4721,4850,Liège,Liège,4721,4850
19,21,0.00273,658736.416409583,767028.497122724,657476.233036358,767537.144525054,0.03344,0.03071,2020.25437271585,2020.25710271585,3187000,Liège,Liège,4721,4728,Liège,Liège,4721,4728
20,5,0.0000184535500016361,656978.607514038,765031.97210691,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,3187000,Liège,Liège,4850,4720,Liège,Liège,4850,4720
20,6,0.0000184535500016361,656978.607514038,765031.97210691,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,3187000,Liège,Liège,4850,4720,Liège,Liège,4850,4720
21,22,0.00244,657476.233036358,767537.144525054,656978.607514038,765031.97210691,0.03588,0.03344,2020.25710271585,2020.25954271585,3187000,Liège,Liège,4728,4850,Liège,Liège,4728,4850
21,7,0.00246045355000164,657476.233036358,767537.144525054,659898.132876325,767912.368129012,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,3187000,Liège,NA,4728,4721,Liège,NA,4728,4721
22,8,0.0000204535500016381,656978.607514038,765031.97210691,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,3187000,Liège,Liège,4850,4760,Liège,Liège,4850,4760
22,23,0.03279,656978.607514038,765031.97210691,645682.255677913,777310.709620466,0.06867,0.03588,2020.25954271585,2020.29233271585,3187000,Liège,Liège,4850,4700,Liège,Liège,4850,4700
23,9,0.0000174535500016421,645682.255677913,777310.709620466,644602.295578747,778648.891159856,0.0686874535500016,0.06867,2020.29233271585,2020.2923501694,3187000,Liège,Liège,4700,4700,Liège,Liège,4700,4700
23,24,0.01164,645682.255677913,777310.709620466,652975.549678907,770495.856925906,0.08031,0.06867,2020.29233271585,2020.30397271585,3187000,Liège,Liège,4700,4731,Liège,Liège,4700,4731
24,25,0.00231000000000001,652975.549678907,770495.856925906,653889.240820322,768003.537563106,0.08262,0.08031,2020.30397271585,2020.30628271585,3187000,Liège,Liège,4731,4711,Liège,Liège,4731,4711
24,10,0.00477045355000164,652975.549678907,770495.856925906,646907.942200398,762960.499727477,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,3187000,Liège,Liège,4731,4837,Liège,Liège,4731,4837
25,26,0.00244,653889.240820322,768003.537563106,656978.607514038,765031.97210691,0.08506,0.08262,2020.30628271585,2020.30872271585,3187000,Liège,Liège,4711,4850,Liège,Liège,4711,4850
25,27,0.00244,653889.240820322,768003.537563106,656978.607514038,765031.97210691,0.08506,0.08262,2020.30628271585,2020.30872271585,3187000,Liège,Liège,4711,4850,Liège,Liège,4711,4850
26,12,0.0000204535500016451,656978.607514038,765031.97210691,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,3187000,Liège,Liège,4850,4720,Liège,Liège,4850,4720
26,11,0.0000204535500016451,656978.607514038,765031.97210691,616567.188939974,790410.616604529,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,3187000,Liège,Liège,4850,4760,Liège,Liège,4850,4760
27,13,0.0000204535500016451,656978.607514038,765031.97210691,658631.237906772,765994.897038398,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,3187000,Liège,Liège,4850,4720,Liège,Liège,4850,4720
27,14,0.0000204535500016451,656978.607514038,765031.97210691,658531.374114447,765757.544950512,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,3187000,Liège,Liège,4850,4720,Liège,Liège,4850,4720
36,28,0.0000219999999999942,638291.430342777,770638.860562883,638342.365206904,770787.908618678,0.0000219999999999942,0,2020.16391242623,2020.16393442623,3187000,Liège,Liège,4837,4837,Liège,Liège,4837,4837
36,37,0.00849,638291.430342777,770638.860562883,644119.929694409,756149.262055254,0.00849,0,2020.16391242623,2020.17240242623,3187000,Liège,Liège,4837,4821,Liège,Liège,4837,4821
37,38,0.00244,644119.929694409,756149.262055254,644784.611597345,758840.035885821,0.01093,0.00849,2020.17240242623,2020.17484242623,3187000,Liège,Liège,4821,4801,Liège,Liège,4821,4801
37,39,0.01337,644119.929694409,756149.262055254,650678.530180141,744125.60741241,0.02186,0.00849,2020.17240242623,2020.18577242623,3187000,Liège,Liège,4821,4671,Liège,Liège,4821,4671
38,29,0.00275289617003015,644784.611597345,758840.035885821,653499.721368531,760313.572091665,0.0136828961700301,0.01093,2020.17484242623,2020.1775953224,3187000,Liège,Liège,4801,4841,Liège,Liège,4801,4841
38,30,0.0000208961700301491,644784.611597345,758840.035885821,644328.116767948,760083.212471651,0.0109508961700301,0.01093,2020.17484242623,2020.1748633224,3187000,Liège,Liège,4801,4830,Liège,Liège,4801,4830
39,31,0.0000198961700301342,650678.530180141,744125.60741241,650777.196483673,743982.01764556,0.0218798961700301,0.02186,2020.18577242623,2020.1857923224,3187000,Liège,Liège,4671,4671,Liège,Liège,4671,4671
39,40,0.01122,650678.530180141,744125.60741241,646424.161909797,749803.307514445,0.03308,0.02186,2020.18577242623,2020.19699242623,3187000,Liège,Liège,4671,4651,Liège,Liège,4671,4651
40,41,0.00244,646424.161909797,749803.307514445,644784.611597345,758840.035885821,0.03552,0.03308,2020.19699242623,2020.19943242623,3187000,Liège,Liège,4651,4801,Liège,Liège,4651,4801
40,42,0.00832,646424.161909797,749803.307514445,647068.676376468,749699.273385787,0.0414,0.03308,2020.19699242623,2020.20531242623,3187000,Liège,Liège,4651,4651,Liège,Liège,4651,4651
41,33,0.0000208961700301491,644784.611597345,758840.035885821,661283.761418774,754693.907387243,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,3187000,Liège,Limburg,4801,3793,Liège,Limburg,4801,3793
41,32,0.0000208961700301491,644784.611597345,758840.035885821,643303.267765298,771679.734280998,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,3187000,Liège,Liège,4801,4837,Liège,Liège,4801,4837
42,34,0.00233689617003014,647068.676376468,749699.273385787,611789.585609064,781623.756248252,0.0437368961700301,0.0414,2020.20531242623,2020.2076493224,3187000,Liège,Liège,4651,4770,Liège,Liège,4651,4770
42,35,0.0597148961700301,647068.676376468,749699.273385787,650002.13291104,732988.073192809,0.10111489617003,0.0414,2020.20531242623,2020.2650273224,3187000,Liège,Liège,4651,4430,Liège,Liège,4651,4430
47,48,0.00244,615175.278359101,776552.066804366,661276.519093939,754667.017865604,0.00244,0,2020.19699255191,2020.19943255191,3187000,Liège,Limburg,4770,3793,Liège,Limburg,4770,3793
47,49,0.00832,615175.278359101,776552.066804366,611603.485602499,781051.884393084,0.00832,0,2020.19699255191,2020.20531255191,3187000,Liège,Liège,4770,4770,Liège,Liège,4770,4770
48,43,0.0000210000000000071,661276.519093939,754667.017865604,643303.267765298,771679.734280998,0.002461,0.00244,2020.19943255191,2020.19945355191,3187000,Limburg,Liège,3793,4837,Limburg,Liège,3793,4837
48,44,0.0000207704901184907,661276.519093939,754667.017865604,661283.761418774,754693.907387243,0.00246077049011849,0.00244,2020.19943255191,2020.1994533224,3187000,Limburg,Limburg,3793,3793,Limburg,Limburg,3793,3793
49,45,0.00233677049011848,611603.485602499,781051.884393084,611789.585609064,781623.756248252,0.0106567704901185,0.00832,2020.20531255191,2020.2076493224,3187000,Liège,Liège,4770,4770,Liège,Liège,4770,4770
49,46,0.0597147704901185,611603.485602499,781051.884393084,650002.13291104,732988.073192809,0.0680347704901185,0.00832,2020.20531255191,2020.2650273224,3187000,Liège,Liège,4770,4430,Liège,Liège,4770,4430
53,50,0.021763,644235.329921471,737747.075210805,644107.601292089,737707.589729516,0.021763,0,2020.18042279235,2020.20218579235,3187000,Liège,Liège,4053,4053,Liège,Liège,4053,4053
53,54,0.019,644235.329921471,737747.075210805,645526.579914541,732741.086466568,0.019,0,2020.18042279235,2020.19942279235,3187000,Liège,Liège,4053,4000,Liège,Liège,4053,4000
54,51,0.0546755683099446,645526.579914541,732741.086466568,635868.408763382,733214.531552291,0.0736755683099446,0.019,2020.19942279235,2020.25409836066,3187000,Liège,Liège,4000,4130,Liège,Liège,4000,4130
54,52,0.0000305683099446133,645526.579914541,732741.086466568,645496.130779693,732833.298234528,0.0190305683099446,0.019,2020.19942279235,2020.19945336066,3187000,Liège,Liège,4000,4000,Liège,Liège,4000,4000
66,55,0.120062,643096.452105607,743239.867594033,632252.022263812,637859.19502108,0.120062,0,2020.0930527541,2020.2131147541,15935000,Liège,Hainaut,4870,7100,Liège,Hainaut,4870,7100
66,67,0.044023,643096.452105607,743239.867594033,647768.990261519,743131.4401472,0.044023,0,2020.0930527541,2020.1370757541,15935000,Liège,Liège,4870,4621,Liège,Liège,4870,4621
67,68,0.04318,647768.990261519,743131.4401472,655960.586120529,737394.653366993,0.087203,0.044023,2020.1370757541,2020.1802557541,15935000,Liège,Liège,4621,4680,Liège,Liège,4621,4680
67,70,0.000527,647768.990261519,743131.4401472,648241.028467402,742976.55774729,0.04455,0.044023,2020.1370757541,2020.1376027541,15935000,Liège,Liège,4621,4621,Liège,Liège,4621,4621
68,56,0.0000710491801042129,655960.586120529,737394.653366993,657591.771917594,736895.282383552,0.0872740491801042,0.087203,2020.1802557541,2020.18032680328,15935000,Liège,Liège,4680,4680,Liège,Liège,4680,4680
68,69,0.0000359999999999944,655960.586120529,737394.653366993,656083.586170736,737104.605463114,0.087239,0.087203,2020.1802557541,2020.1802917541,15935000,Liège,Liège,4680,4680,Liège,Liège,4680,4680
69,57,0.0000350491801042047,656083.586170736,737104.605463114,646101.216989852,738014.360673969,0.0872740491801042,0.087239,2020.1802917541,2020.18032680328,15935000,Liège,Liège,4680,4030,Liège,Liège,4680,4030
69,58,0.0000350491801042047,656083.586170736,737104.605463114,655987.805244944,737610.368292887,0.0872740491801042,0.087239,2020.1802917541,2020.18032680328,15935000,Liège,Liège,4680,4680,Liège,Liège,4680,4680
70,59,0.108299049180104,648241.028467402,742976.55774729,645175.440375378,738423.533533618,0.152849049180104,0.04455,2020.1376027541,2020.24590180328,15935000,Liège,Liège,4621,4032,Liège,Liège,4621,4032
70,71,0.04437,648241.028467402,742976.55774729,647347.441761669,749036.388209788,0.08892,0.04455,2020.1376027541,2020.1819727541,15935000,Liège,Liège,4621,4651,Liège,Liège,4621,4651
71,72,0.00342000000000001,647347.441761669,749036.388209788,634103.21477185,653737.204503536,0.09234,0.08892,2020.1819727541,2020.1853927541,15935000,Liège,Hainaut,4651,6238,Liège,Hainaut,4651,6238
71,60,0.0420710491801042,647347.441761669,749036.388209788,648722.063035101,771291.016031757,0.130991049180104,0.08892,2020.1819727541,2020.22404380328,15935000,Liège,Liège,4651,4700,Liège,Liège,4651,4700
72,61,0.0850990491801042,634103.21477185,653737.204503536,619509.321845003,661893.90824983,0.177439049180104,0.09234,2020.1853927541,2020.27049180328,15935000,Hainaut,Hainaut,6238,6200,Hainaut,Hainaut,6238,6200
72,73,0.000390000000000001,634103.21477185,653737.204503536,634316.236861307,654222.366675433,0.09273,0.09234,2020.1853927541,2020.1857827541,15935000,Hainaut,Hainaut,6238,6238,Hainaut,Hainaut,6238,6238
73,74,0.00437,634316.236861307,654222.366675433,634846.5142887,654367.723484073,0.0971,0.09273,2020.1857827541,2020.1901527541,15935000,Hainaut,Hainaut,6238,6210,Hainaut,Hainaut,6238,6210
73,62,0.0409930491801042,634316.236861307,654222.366675433,673235.654067548,645109.954755827,0.133723049180104,0.09273,2020.1857827541,2020.22677580328,15935000,Hainaut,Bruxelles,6238,1082,Hainaut,Bruxelles,6238,1082
74,63,0.0420880491801042,634846.5142887,654367.723484073,631662.248602259,658290.557716334,0.139188049180104,0.0971,2020.1901527541,2020.23224080328,15935000,Hainaut,Hainaut,6210,6211,Hainaut,Hainaut,6210,6211
74,75,0.03659,634846.5142887,654367.723484073,635143.807527851,652525.504003046,0.13369,0.0971,2020.1901527541,2020.2267427541,15935000,Hainaut,Hainaut,6210,6210,Hainaut,Hainaut,6210,6210
75,65,0.0191590491801042,635143.807527851,652525.504003046,635215.846043767,651491.117361354,0.152849049180104,0.13369,2020.2267427541,2020.24590180328,15935000,Hainaut,Hainaut,6210,6230,Hainaut,Hainaut,6210,6230
75,64,0.0000330491801042165,635143.807527851,652525.504003046,670101.109616007,698047.89762907,0.133723049180104,0.13369,2020.2267427541,2020.22677580328,15935000,Hainaut,VlaamsBrabant,6210,3350,Hainaut,VlaamsBrabant,6210,3350
80,76,0.054103,694504.060855718,708387.77444978,721280.27614978,672102.46313337,0.054103,0,2020.18906639891,2020.24316939891,3187000,Limburg,Antwerpen,3583,2390,Limburg,Antwerpen,3583,2390
80,81,0.0000980000000000009,694504.060855718,708387.77444978,694456.540938493,708319.954614125,0.0000980000000000009,0,2020.18906639891,2020.18916439891,3187000,Limburg,Limburg,3583,3583,Limburg,Limburg,3583,3583
81,77,0.032147,694456.540938493,708319.954614125,710692.072436232,706114.552496834,0.032245,0.0000980000000000009,2020.18916439891,2020.22131139891,3187000,Limburg,Antwerpen,3583,2400,Limburg,Antwerpen,3583,2400
81,82,0.000549000000000001,694456.540938493,708319.954614125,694496.529207912,708358.016366157,0.000647000000000002,0.0000980000000000009,2020.18916439891,2020.18971339891,3187000,Limburg,Limburg,3583,3583,Limburg,Limburg,3583,3583
82,78,0.039795,694496.529207912,708358.016366157,682460.707861464,690072.960299478,0.040442,0.000647000000000002,2020.18971339891,2020.22950839891,3187000,Limburg,VlaamsBrabant,3583,3390,Limburg,VlaamsBrabant,3583,3390
82,79,0.050724,694496.529207912,708358.016366157,694438.711141177,708299.528446153,0.051371,0.000647000000000002,2020.18971339891,2020.24043739891,3187000,Limburg,Limburg,3583,3583,Limburg,Limburg,3583,3583
87,83,0.071835,698104.885888933,698436.426437829,698273.354839221,698609.845446575,0.071835,0,2020.17133439891,2020.24316939891,3187000,Antwerpen,Antwerpen,2430,2430,Antwerpen,Antwerpen,2430,2430
87,88,0.000442999999999999,698104.885888933,698436.426437829,698068.91873973,698394.612346449,0.000442999999999999,0,2020.17133439891,2020.17177739891,3187000,Antwerpen,Antwerpen,2430,2430,Antwerpen,Antwerpen,2430,2430
88,84,0.065928,698068.91873973,698394.612346449,714257.812322577,721415.178959928,0.066371,0.000442999999999999,2020.17177739891,2020.23770539891,3187000,Antwerpen,Limburg,2430,3900,Antwerpen,Limburg,2430,3900
88,89,0.000255000000000005,698068.91873973,698394.612346449,698075.160669401,698399.642677164,0.000698000000000004,0.000442999999999999,2020.17177739891,2020.17203239891,3187000,Antwerpen,Antwerpen,2430,2430,Antwerpen,Antwerpen,2430,2430
89,85,0.057475,698075.160669401,698399.642677164,682760.32949797,652969.524646665,0.058173,0.000698000000000004,2020.17203239891,2020.22950739891,3187000,Antwerpen,VlaamsBrabant,2430,1850,Antwerpen,VlaamsBrabant,2430,1850
89,86,0.071137,698075.160669401,698399.642677164,718395.810602827,674852.613167297,0.071835,0.000698000000000004,2020.17203239891,2020.24316939891,3187000,Antwerpen,Antwerpen,2430,2980,Antwerpen,Antwerpen,2430,2980
95,96,0.00244,675717.429034678,670145.40204135,705203.103282167,648626.3934119,0.00244,0,2020.22156271585,2020.22400271585,15935000,VlaamsBrabant,Antwerpen,3020,2660,VlaamsBrabant,Antwerpen,3020,2660
95,97,0.00546,675717.429034678,670145.40204135,674134.330637682,674567.444616583,0.00546,0,2020.22156271585,2020.22702271585,15935000,VlaamsBrabant,VlaamsBrabant,3020,3010,VlaamsBrabant,VlaamsBrabant,3020,3010
96,90,0.0000409999999999994,705203.103282167,648626.3934119,705046.906303553,648572.717890105,0.002481,0.00244,2020.22400271585,2020.22404371585,15935000,Antwerpen,Antwerpen,2660,2620,Antwerpen,Antwerpen,2660,2620
96,91,0.00277268305988316,705203.103282167,648626.3934119,665975.562516932,661043.249116965,0.00521268305988316,0.00244,2020.22400271585,2020.22677539891,15935000,Antwerpen,VlaamsBrabant,2660,3080,Antwerpen,VlaamsBrabant,2660,3080
97,92,0.00248468305988316,674134.330637682,674567.444616583,692747.617948766,686128.305070733,0.00794468305988316,0.00546,2020.22702271585,2020.22950739891,15935000,VlaamsBrabant,Antwerpen,3010,2230,VlaamsBrabant,Antwerpen,3010,2230
97,98,0.01337,674134.330637682,674567.444616583,676757.365799455,673663.892812618,0.01883,0.00546,2020.22702271585,2020.24039271585,15935000,VlaamsBrabant,VlaamsBrabant,3010,3012,VlaamsBrabant,VlaamsBrabant,3010,3012
98,93,0.00277668305988316,676757.365799455,673663.892812618,712666.037269849,662439.682957455,0.0216066830598832,0.01883,2020.24039271585,2020.24316939891,15935000,VlaamsBrabant,Antwerpen,3012,2110,VlaamsBrabant,Antwerpen,3012,2110
98,94,0.0000436830598831567,676757.365799455,673663.892812618,676909.563494759,673541.779546036,0.0188736830598832,0.01883,2020.24039271585,2020.24043639891,15935000,VlaamsBrabant,VlaamsBrabant,3012,3012,VlaamsBrabant,VlaamsBrabant,3012,3012
103,99,0.082848,654173.477195587,740712.672177327,645475.805167229,722068.605987602,0.082848,0,2020.17398260109,2020.25683060109,3187000,Liège,Liège,4683,4460,Liège,Liège,4683,4460
103,104,0.03203,654173.477195587,740712.672177327,654402.540866983,741741.901689997,0.03203,0,2020.17398260109,2020.20601260109,3187000,Liège,Liège,4683,4683,Liège,Liège,4683,4683
104,100,0.0180307213100143,654402.540866983,741741.901689997,658082.876653976,759267.291260263,0.0500607213100143,0.03203,2020.20601260109,2020.2240433224,3187000,Liège,Liège,4683,4852,Liège,Liège,4683,4852
104,105,0.01695,654402.540866983,741741.901689997,654468.676022757,741726.042656339,0.04898,0.03203,2020.20601260109,2020.22296260109,3187000,Liège,Liège,4683,4683,Liège,Liège,4683,4683
105,101,0.0420647213100143,654468.676022757,741726.042656339,654414.060446384,742463.772057467,0.0910447213100143,0.04898,2020.22296260109,2020.2650273224,3187000,Liège,Liège,4683,4602,Liège,Liège,4683,4602
105,102,0.0311357213100143,654468.676022757,741726.042656339,642194.815864786,738952.547159649,0.0801157213100143,0.04898,2020.22296260109,2020.2540983224,3187000,Liège,Liège,4683,4050,Liège,Liège,4683,4050
111,106,0.022639,638811.337066971,710379.959293633,642810.179117121,737004.216225384,0.022639,0,2020.19867247541,2020.22131147541,3187000,Liège,Liège,4520,4053,Liège,Liège,4520,4053
111,112,0.019765,638811.337066971,710379.959293633,647801.032843187,737107.453926348,0.019765,0,2020.19867247541,2020.21843747541,3187000,Liège,Liège,4520,4020,Liège,Liège,4520,4020
112,113,0.000125,647801.032843187,737107.453926348,647947.303239879,737086.659152572,0.01989,0.019765,2020.21843747541,2020.21856247541,3187000,Liège,Liège,4020,4020,Liège,Liège,4020,4020
112,114,0.000125,647801.032843187,737107.453926348,647947.303239879,737086.659152572,0.01989,0.019765,2020.21843747541,2020.21856247541,3187000,Liège,Liège,4020,4020,Liège,Liège,4020,4020
113,107,0.0246073661199937,647947.303239879,737086.659152572,648231.883716538,742679.81270325,0.0444973661199937,0.01989,2020.21856247541,2020.24316984153,3187000,Liège,Liège,4020,4610,Liège,Liège,4020,4610
113,108,0.0246073661199937,647947.303239879,737086.659152572,643827.755001683,721663.707075135,0.0444973661199937,0.01989,2020.21856247541,2020.24316984153,3187000,Liège,Liège,4020,4470,Liège,Liège,4020,4470
114,109,0.0000163661199936854,647947.303239879,737086.659152572,647796.76862743,737138.109501098,0.0199063661199937,0.01989,2020.21856247541,2020.21857884153,3187000,Liège,Liège,4020,4020,Liège,Liège,4020,4020
114,110,0.0410003661199937,647947.303239879,737086.659152572,652301.174790691,733161.461185178,0.0608903661199937,0.01989,2020.21856247541,2020.25956284153,3187000,Liège,Liège,4020,4000,Liège,Liège,4020,4000
118,115,0.0000150000000000011,643283.060167794,572829.758012664,643208.331351776,572947.73524852,0.0000150000000000011,0,2020.22949319672,2020.22950819672,3187000,Hainaut,Hainaut,NA,7522,Hainaut,Hainaut,NA,7522
118,119,0.03825,643283.060167794,572829.758012664,636175.684992943,595846.173938537,0.03825,0,2020.22949319672,2020.26774319672,3187000,Hainaut,Hainaut,NA,7601,Hainaut,Hainaut,NA,7601
119,116,0.0000163661199936924,636175.684992943,595846.173938537,636604.286342663,600726.7701768,0.0382663661199937,0.03825,2020.26774319672,2020.26775956284,3187000,Hainaut,Hainaut,7601,7971,Hainaut,Hainaut,7601,7971
119,117,0.0000163661199936924,636175.684992943,595846.173938537,636159.356238246,595883.421515817,0.0382663661199937,0.03825,2020.26774319672,2020.26775956284,3187000,Hainaut,Hainaut,7601,7601,Hainaut,Hainaut,7601,7601
144,154,0.000305,637418.538732584,706187.809130011,638560.85044501,708793.901293888,0.000305,0,2020.15059719672,2020.15090219672,3187000,Liège,Liège,4520,4520,Liège,Liège,4520,4520
144,145,0.032644,637418.538732584,706187.809130011,631984.39437566,694545.713212745,0.032644,0,2020.15059719672,2020.18324119672,3187000,Liège,Namur,4520,5300,Liège,Namur,4520,5300
145,146,0.000679999999999986,631984.39437566,694545.713212745,632445.366462034,691696.298226186,0.033324,0.032644,2020.18324119672,2020.18392119672,3187000,Namur,Namur,5300,5024,Namur,Namur,5300,5024
145,148,0.00110099999999999,631984.39437566,694545.713212745,640770.86698352,687655.944625733,0.033745,0.032644,2020.18324119672,2020.18434219672,3187000,Namur,Namur,5300,5310,Namur,Namur,5300,5310
146,120,0.045587,632445.366462034,691696.298226186,645213.27837536,660472.799401023,0.078911,0.033324,2020.18392119672,2020.22950819672,3187000,Namur,BrabantWallon,5024,1470,Namur,BrabantWallon,5024,1470
146,147,0.081091,632445.366462034,691696.298226186,646396.171072856,762248.761033726,0.114415,0.033324,2020.18392119672,2020.26501219672,3187000,Namur,Liège,5024,4830,Namur,Liège,5024,4830
147,122,0.0000157704901184857,646396.171072856,762248.761033726,660347.033518613,751230.843956215,0.114430770490118,0.114415,2020.26501219672,2020.26502796721,3187000,Liège,Limburg,4830,3790,Liège,Limburg,4830,3790
147,121,0.0000157704901184857,646396.171072856,762248.761033726,646018.944880149,761202.136617707,0.114430770490118,0.114415,2020.26501219672,2020.26502796721,3187000,Liège,Liège,4830,4830,Liège,Liège,4830,4830
148,151,0.00788,640770.86698352,687655.944625733,636583.986896109,622466.939980726,0.041625,0.033745,2020.18434219672,2020.19222219672,3187000,Namur,Hainaut,5310,7050,Namur,Hainaut,5310,7050
148,149,0.02822,640770.86698352,687655.944625733,624318.450329355,652492.638804428,0.061965,0.033745,2020.18434219672,2020.21256219672,3187000,Namur,Hainaut,5310,6044,Namur,Hainaut,5310,6044
149,123,0.0169457704901185,624318.450329355,652492.638804428,620882.147130081,659195.08116962,0.0789107704901185,0.061965,2020.21256219672,2020.22950796721,3187000,Hainaut,Hainaut,6044,6061,Hainaut,Hainaut,6044,6061
149,150,0.0142,624318.450329355,652492.638804428,626768.612465365,655676.085212721,0.076165,0.061965,2020.21256219672,2020.22676219672,3187000,Hainaut,Hainaut,6044,6040,Hainaut,Hainaut,6044,6040
150,124,0.0000137704901184837,626768.612465365,655676.085212721,626602.093001581,655167.334328875,0.0761787704901185,0.076165,2020.22676219672,2020.22677596721,3187000,Hainaut,Hainaut,6040,6040,Hainaut,Hainaut,6040,6040
150,125,0.0000137704901184837,626768.612465365,655676.085212721,638828.448737194,604839.961196904,0.0761787704901185,0.076165,2020.22676219672,2020.22677596721,3187000,Hainaut,Hainaut,6040,7950,Hainaut,Hainaut,6040,7950
151,126,0.0427507704901185,636583.986896109,622466.939980726,639718.972304918,630017.612253304,0.0843757704901185,0.041625,2020.19222219672,2020.23497296721,3187000,Hainaut,Hainaut,7050,7060,Hainaut,Hainaut,7050,7060
151,152,0.00381000000000001,636583.986896109,622466.939980726,626159.529527202,612684.61774898,0.045435,0.041625,2020.19222219672,2020.19603219672,3187000,Hainaut,Hainaut,7050,7390,Hainaut,Hainaut,7050,7390
152,127,0.0416727704901185,626159.529527202,612684.61774898,676821.442910345,648118.698939596,0.0871077704901185,0.045435,2020.19603219672,2020.23770496721,3187000,Hainaut,VlaamsBrabant,7390,1020,Hainaut,VlaamsBrabant,7390,1020
152,153,0.02799,626159.529527202,612684.61774898,657548.557532228,651883.570797066,0.073425,0.045435,2020.19603219672,2020.22402219672,3187000,Hainaut,BrabantWallon,7390,1410,Hainaut,BrabantWallon,7390,1410
