node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
12,1,0.144461967181504,630246.670695107,650811.047321524,627900.92433777,638449.465755059,0.144461967181504,0,2020.0686527869,2020.21311475408,23225000,Hainaut,Hainaut,6180,7100
12,13,0.05347371079,630246.670695107,650811.047321524,629524.739809224,652115.968195779,0.05347371079,0,2020.0686527869,2020.12212649769,23225000,Hainaut,Hainaut,6180,6230
13,14,0.000166289214100002,629524.739809224,652115.968195779,647606.086990037,738948.799633954,0.0536400000041,0.05347371079,2020.12212649769,2020.1222927869,23225000,Hainaut,Liège,6230,4030
13,17,0.049425892,629524.739809224,652115.968195779,628580.102969327,655320.561515567,0.10289960279,0.05347371079,2020.12212649769,2020.17155238969,23225000,Hainaut,Hainaut,6230,6041
14,5,0.123608852481504,647606.086990037,738948.799633954,646203.54615974,738775.909736119,0.177248852485604,0.0536400000041,2020.1222927869,2020.24590163939,23225000,Liège,Liège,4030,4032
14,15,0.05743566521,647606.086990037,738948.799633954,647058.88354642,739140.575632806,0.1110756652141,0.0536400000041,2020.1222927869,2020.17972845211,23225000,Liège,Liège,4030,4030
15,16,0.000544334787500003,647058.88354642,739140.575632806,656005.72921518,740969.026392836,0.1116200000016,0.1110756652141,2020.17972845211,2020.1802727869,23225000,Liège,Liège,4030,4680
15,4,0.000599416736104266,647058.88354642,739140.575632806,647139.366155727,739460.047409309,0.111675081950204,0.1110756652141,2020.17972845211,2020.18032786885,23225000,Liège,Liège,4030,4030
16,2,0.0000550819485742732,656005.72921518,740969.026392836,656797.226904602,739454.820288108,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,23225000,Liège,Liège,4680,4680
16,3,0.0000550819485742732,656005.72921518,740969.026392836,656020.05133016,741017.497414941,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,23225000,Liège,Liège,4680,4680
17,18,0.000470397218599997,628580.102969327,655320.561515567,628540.083782081,655308.292975682,0.1033700000086,0.10289960279,2020.17155238969,2020.17202278691,23225000,Hainaut,Hainaut,6041,6041
17,6,0.0524913261615043,628580.102969327,655320.561515567,644384.961591768,773135.884138858,0.155390928951504,0.10289960279,2020.17155238969,2020.22404371585,23225000,Hainaut,Liège,6041,4700
18,7,0.0984690163715043,628540.083782081,655308.292975682,622516.226418491,659810.870950471,0.201839016380104,0.1033700000086,2020.17202278691,2020.27049180328,23225000,Hainaut,Hainaut,6041,6200
18,19,0.00408,628540.083782081,655308.292975682,633888.2792884,650059.185366832,0.1074500000086,0.1033700000086,2020.17202278691,2020.17610278691,23225000,Hainaut,Hainaut,6041,6230
19,8,0.0506731693815043,633888.2792884,650059.185366832,671904.458948933,644955.589442908,0.158123169390104,0.1074500000086,2020.17610278691,2020.22677595629,23225000,Hainaut,Bruxelles,6230,1082
19,20,0.00546000000000001,633888.2792884,650059.185366832,634122.463057264,649801.575211931,0.1129100000086,0.1074500000086,2020.17610278691,2020.18156278691,23225000,Hainaut,Hainaut,6230,6230
20,9,0.0506776502515043,634122.463057264,649801.575211931,633057.42294232,657644.111877344,0.163587650260104,0.1129100000086,2020.18156278691,2020.23224043716,23225000,Hainaut,Hainaut,6230,6211
20,21,0.04515,634122.463057264,649801.575211931,630444.506219977,645822.187959977,0.1580600000086,0.1129100000086,2020.18156278691,2020.22671278691,23225000,Hainaut,Hainaut,6230,6181
21,10,0.0000631693803942734,630444.506219977,645822.187959977,671619.376521435,696445.997637305,0.158123169388994,0.1580600000086,2020.22671278691,2020.22677595629,23225000,Hainaut,VlaamsBrabant,6181,3350
21,11,0.0191888524415043,630444.506219977,645822.187959977,637170.223797644,648568.52183319,0.177248852450104,0.1580600000086,2020.22671278691,2020.24590163935,23225000,Hainaut,Hainaut,6181,6230
26,27,0.000199923969000003,677710.830177983,683731.789422537,677720.964070413,683740.827604941,0.000199923969000003,0,2020.18135286292,2020.18155278689,4645000,VlaamsBrabant,VlaamsBrabant,3210,3210
26,28,0.000199923969000003,677710.830177983,683731.789422537,677720.964070413,683740.827604941,0.000199923969000003,0,2020.18135286292,2020.18155278689,4645000,VlaamsBrabant,VlaamsBrabant,3210,3210
27,22,0.0588843715798546,677720.964070413,683740.827604941,694149.031382167,707001.323415995,0.0590842955488546,0.000199923969000003,2020.18155278689,2020.24043715847,4645000,VlaamsBrabant,Limburg,3210,3583
27,23,0.0479554098398546,677720.964070413,683740.827604941,679229.418318674,685173.330251501,0.0481553338088546,0.000199923969000003,2020.18155278689,2020.22950819673,4645000,VlaamsBrabant,VlaamsBrabant,3210,3390
28,24,0.0397586885198546,677720.964070413,683740.827604941,709959.205824516,704434.325019237,0.0399586124888546,0.000199923969000003,2020.18155278689,2020.22131147541,4645000,VlaamsBrabant,Antwerpen,3210,2400
28,25,0.0616166120198546,677720.964070413,683740.827604941,721119.803803077,671965.519730271,0.0618165359888546,0.000199923969000003,2020.18155278689,2020.24316939891,4645000,VlaamsBrabant,Antwerpen,3210,2390
