node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,1,0.0506488743298547,657785.770566979,765926.527511356,657639.165599063,765889.085372043,0.0506488743298547,0,2020.20618172677,2020.2568306011,679000
5,6,0.00846,657785.770566979,765926.527511356,657901.19786019,766116.42778859,0.00846,0,2020.20618172677,2020.21464172677,679000
6,2,0.0421888743298547,657901.19786019,766116.42778859,658158.505482456,766562.929162245,0.0506488743298547,0.00846,2020.21464172677,2020.2568306011,679000
6,7,0.003994,657901.19786019,766116.42778859,657912.553703782,766229.850911942,0.012454,0.00846,2020.21464172677,2020.21863572677,679000
7,3,0.0409271147598547,657912.553703782,766229.850911942,615493.55349295,785629.360417704,0.0533811147598547,0.012454,2020.21863572677,2020.25956284153,679000
7,4,0.0409271147598547,657912.553703782,766229.850911942,660504.996233143,767409.876759615,0.0533811147598547,0.012454,2020.21863572677,2020.25956284153,679000
11,8,0.0168790655699446,642346.157569342,740810.053681835,642324.078339003,738769.330823249,0.0168790655699446,0,2020.18530672678,2020.20218579235,679000
11,12,0.01387748726,642346.157569342,740810.053681835,646031.876449198,736121.405164295,0.01387748726,0,2020.18530672678,2020.19918421404,679000
12,9,0.000269337878344628,646031.876449198,736121.405164295,646431.892913191,735418.723830617,0.0141468251383446,0.01387748726,2020.19918421404,2020.19945355192,679000
12,10,0.0549141466199446,646031.876449198,736121.405164295,635595.259433519,735961.632471443,0.0687916338799446,0.01387748726,2020.19918421404,2020.25409836066,679000
16,13,0.04104446995,693468.088737505,685138.817889671,693563.379941614,684811.158801331,0.04104446995,0,2020.18846372677,2020.22950819672,679000
16,17,0.01893,693468.088737505,685138.817889671,690368.405850769,683191.200139321,0.01893,0,2020.18846372677,2020.20739372677,679000
17,14,0.02211446995,690368.405850769,683191.200139321,679541.416840451,650420.731303655,0.04104446995,0.01893,2020.20739372677,2020.22950819672,679000
17,15,0.02211446995,690368.405850769,683191.200139321,681726.767181232,687595.19362753,0.04104446995,0.01893,2020.20739372677,2020.22950819672,679000
26,28,0.01474441511,680485.929725603,642187.703026122,679787.060921972,642646.109727327,0.01474441511,0,2020.14866272678,2020.16340714189,679000
26,27,0.061261,680485.929725603,642187.703026122,665162.831346228,657128.122712202,0.061261,0,2020.14866272678,2020.20992372678,679000
27,18,0.0141199890599607,665162.831346228,657128.122712202,703009.169085644,647989.335842119,0.0753809890599607,0.061261,2020.20992372678,2020.22404371584,679000
27,19,0.0168522294999607,665162.831346228,657128.122712202,665616.280694962,656994.903506621,0.0781132294999607,0.061261,2020.20992372678,2020.22677595628,679000
28,29,0.01020658489,679787.060921972,642646.109727327,643871.283029032,737972.415126898,0.024951,0.01474441511,2020.16340714189,2020.17361372678,679000
28,32,0.000124584887100002,679787.060921972,642646.109727327,679772.396791712,642656.333784925,0.0148689999971,0.01474441511,2020.16340714189,2020.16353172678,679000
29,20,0.0722879125599607,643871.283029032,737972.415126898,644586.809833146,737997.07520577,0.0972389125599607,0.024951,2020.17361372678,2020.24590163934,679000
29,30,0.00606009196400001,643871.283029032,737972.415126898,647434.589888113,739727.274372646,0.031011091964,0.024951,2020.17361372678,2020.17967381874,679000
30,31,0.000313865551999998,647434.589888113,739727.274372646,656698.934700706,736904.391382179,0.031324957516,0.031011091964,2020.17967381874,2020.1799876843,679000
30,21,0.000654050101960735,647434.589888113,739727.274372646,647190.254535146,740038.250986023,0.0316651420659607,0.031011091964,2020.17967381874,2020.18032786885,679000
31,23,0.000340184550060726,656698.934700706,736904.391382179,657178.307360028,736930.109489648,0.0316651420660607,0.031324957516,2020.1799876843,2020.18032786885,679000
31,22,0.000340184550060726,656698.934700706,736904.391382179,655507.298361749,737302.345116567,0.0316651420660607,0.031324957516,2020.1799876843,2020.18032786885,679000
32,24,0.0632442294999607,679772.396791712,642656.333784925,668710.851363841,696302.403841341,0.0781132294970607,0.0148689999971,2020.16353172678,2020.22677595628,679000
32,25,0.0632442294999607,679772.396791712,642656.333784925,673222.363676572,644810.594463396,0.0781132294970607,0.0148689999971,2020.16353172678,2020.22677595628,679000
40,42,0.000198934003200001,625914.916055253,628575.363372804,625947.61717961,628559.039442491,0.000198934003200001,0,2020.15477379278,2020.15497272678,679000
40,41,0.000198934003200001,625914.916055253,628575.363372804,625947.61717961,628559.039442491,0.000198934003200001,0,2020.15477379278,2020.15497272678,679000
41,33,0.0226229016400143,625947.61717961,628559.039442491,584275.317855786,653234.66501426,0.0228218356432143,0.000198934003200001,2020.15497272678,2020.17759562842,679000
41,34,0.0198906612000143,625947.61717961,628559.039442491,627707.152126429,628032.562030586,0.0200895952032143,0.000198934003200001,2020.15497272678,2020.17486338798,679000
42,43,0.0197904644,625947.61717961,628559.039442491,694973.13543209,603342.544850866,0.0199893984032,0.000198934003200001,2020.15497272678,2020.17476319118,679000
42,44,0.008661,625947.61717961,628559.039442491,626341.956186799,628234.402702483,0.0088599340032,0.000198934003200001,2020.15497272678,2020.16363372678,679000
43,35,0.000100196806014256,694973.13543209,603342.544850866,710330.201391463,625622.478040172,0.0200895952092143,0.0199893984032,2020.17476319118,2020.17486338799,679000
